       s            betax          betay           etax           etay     
  0.000000e+00   2.500000e+00   2.500000e+00  -8.327344e-10   0.000000e+00
  1.400000e+00   3.284000e+00   3.284000e+00  -4.092549e-10   0.000000e+00
  1.650000e+00   3.842075e+00   3.347376e+00  -3.473662e-10   0.000000e+00
  4.550000e+00   2.254864e+01   4.292519e+00   2.197382e-10   0.000000e+00
  4.800000e+00   2.318746e+01   4.983429e+00   2.597204e-10   0.000000e+00
  7.700000e+00   1.239765e+01   2.753018e+01   6.143279e-10   0.000000e+00
  7.950000e+00   1.259267e+01   2.822791e+01   6.686017e-10   0.000000e+00
  1.085000e+01   2.999996e+01   1.437669e+01   1.581052e-09   0.000000e+00
  1.110000e+01   2.987796e+01   1.436314e+01   1.607135e-09   0.000000e+00
  1.400000e+01   1.078250e+01   2.777317e+01   1.296479e-09   0.000000e+00
  1.425000e+01   1.009245e+01   2.787715e+01   1.299344e-09   0.000000e+00
  1.715000e+01   8.675339e+00   1.620048e+01   1.676725e-09   0.000000e+00
  1.740000e+01   8.426565e+00   1.577943e+01   1.687871e-09   0.000000e+00
  2.030000e+01   4.971331e+00   1.616610e+01   1.568534e-09   0.000000e+00
  2.055000e+01   5.004748e+00   1.572804e+01   1.583742e-09   0.000000e+00
  2.180000e+01   6.411356e+00   1.145332e+01   1.787662e-09   0.000000e+00
  2.200000e+01   6.694214e+00   1.085380e+01   3.926488e-03   0.000000e+00
  2.220000e+01   6.974307e+00   1.027757e+01   1.569989e-02   0.000000e+00
  2.240000e+01   7.249909e+00   9.724627e+00   3.530206e-02   0.000000e+00
  2.260000e+01   7.519320e+00   9.194978e+00   6.270277e-02   0.000000e+00
  2.280000e+01   7.780879e+00   8.688620e+00   9.785977e-02   0.000000e+00
  2.405000e+01   9.671467e+00   6.051580e+00   3.417227e-01   0.000000e+00
  2.430000e+01   9.481035e+00   6.018223e+00   3.788731e-01   0.000000e+00
  2.555000e+01   6.038524e+00   8.260024e+00   5.044917e-01   0.000000e+00
  2.575000e+01   5.589224e+00   8.693040e+00   5.281230e-01   0.000000e+00
  2.595000e+01   5.154505e+00   9.146560e+00   5.587930e-01   0.000000e+00
  2.615000e+01   4.737047e+00   9.620584e+00   5.964544e-01   0.000000e+00
  2.635000e+01   4.339424e+00   1.011511e+01   6.410490e-01   0.000000e+00
  2.655000e+01   3.964087e+00   1.063014e+01   6.925081e-01   0.000000e+00
  2.780000e+01   2.412286e+00   1.431364e+01   1.035420e+00   0.000000e+00
  2.805000e+01   2.447164e+00   1.408926e+01   1.142784e+00   0.000000e+00
  2.930000e+01   4.419701e+00   8.625338e+00   1.880028e+00   0.000000e+00
  2.950000e+01   4.873363e+00   7.901290e+00   2.000433e+00   0.000000e+00
  2.970000e+01   5.350675e+00   7.218670e+00   2.125607e+00   0.000000e+00
  2.990000e+01   5.848694e+00   6.577479e+00   2.255357e+00   0.000000e+00
  3.010000e+01   6.364349e+00   5.977717e+00   2.389482e+00   0.000000e+00
  3.030000e+01   6.894461e+00   5.419383e+00   2.527775e+00   0.000000e+00
  3.155000e+01   1.088003e+01   2.868413e+00   3.404696e+00   0.000000e+00
  3.180000e+01   1.089824e+01   2.778910e+00   3.437069e+00   0.000000e+00
  3.305000e+01   7.051826e+00   4.224103e+00   2.881638e+00   0.000000e+00
  3.325000e+01   6.536694e+00   4.570976e+00   2.794496e+00   0.000000e+00
  3.345000e+01   6.033504e+00   4.949751e+00   2.710899e+00   0.000000e+00
  3.365000e+01   5.545360e+00   5.360427e+00   2.630975e+00   0.000000e+00
  3.385000e+01   5.075269e+00   5.803005e+00   2.554847e+00   0.000000e+00
  3.405000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  3.530000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  3.555000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  3.580000e+01   2.912522e+00   9.128402e+00   2.131531e+00   0.000000e+00
  3.605000e+01   3.251857e+00   8.340903e+00   2.219306e+00   0.000000e+00
  3.680000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  3.700000e+01   5.052545e+00   5.803005e+00   2.552977e+00   0.000000e+00
  3.720000e+01   5.449427e+00   5.360427e+00   2.623281e+00   0.000000e+00
  3.740000e+01   5.807005e+00   4.949751e+00   2.693113e+00   0.000000e+00
  3.760000e+01   6.116476e+00   4.570976e+00   2.762040e+00   0.000000e+00
  3.780000e+01   6.370217e+00   4.224103e+00   2.829638e+00   0.000000e+00
  3.905000e+01   8.090144e+00   2.778910e+00   3.247100e+00   0.000000e+00
  3.930000e+01   8.090144e+00   2.778910e+00   3.247100e+00   0.000000e+00
  3.955000e+01   7.694642e+00   2.968257e+00   3.163608e+00   0.000000e+00
  3.980000e+01   7.324899e+00   3.207449e+00   3.080115e+00   0.000000e+00
  4.055000e+01   6.370217e+00   4.224103e+00   2.829638e+00   0.000000e+00
  4.075000e+01   6.116476e+00   4.570976e+00   2.762040e+00   0.000000e+00
  4.095000e+01   5.807005e+00   4.949751e+00   2.693113e+00   0.000000e+00
  4.115000e+01   5.449427e+00   5.360427e+00   2.623281e+00   0.000000e+00
  4.135000e+01   5.052545e+00   5.803005e+00   2.552977e+00   0.000000e+00
  4.155000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  4.280000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  4.305000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  4.330000e+01   2.912522e+00   9.128401e+00   2.131531e+00   0.000000e+00
  4.355000e+01   3.251857e+00   8.340903e+00   2.219306e+00   0.000000e+00
  4.430000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  4.450000e+01   5.052545e+00   5.803005e+00   2.552977e+00   0.000000e+00
  4.470000e+01   5.449427e+00   5.360427e+00   2.623281e+00   0.000000e+00
  4.490000e+01   5.807005e+00   4.949751e+00   2.693113e+00   0.000000e+00
  4.510000e+01   6.116476e+00   4.570976e+00   2.762040e+00   0.000000e+00
  4.530000e+01   6.370217e+00   4.224103e+00   2.829638e+00   0.000000e+00
  4.655000e+01   8.090144e+00   2.778910e+00   3.247100e+00   0.000000e+00
  4.680000e+01   8.090144e+00   2.778910e+00   3.247100e+00   0.000000e+00
  4.705000e+01   7.694642e+00   2.968257e+00   3.163608e+00   0.000000e+00
  4.730000e+01   7.324899e+00   3.207449e+00   3.080115e+00   0.000000e+00
  4.805000e+01   6.370217e+00   4.224103e+00   2.829638e+00   0.000000e+00
  4.825000e+01   6.116476e+00   4.570976e+00   2.762040e+00   0.000000e+00
  4.845000e+01   5.807006e+00   4.949751e+00   2.693113e+00   0.000000e+00
  4.865000e+01   5.449427e+00   5.360427e+00   2.623281e+00   0.000000e+00
  4.885000e+01   5.052545e+00   5.803005e+00   2.552977e+00   0.000000e+00
  4.905000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  5.030000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  5.055000e+01   2.632565e+00   9.965746e+00   2.043756e+00   0.000000e+00
  5.180000e+01   4.626131e+00   6.277484e+00   2.482632e+00   0.000000e+00
  5.200000e+01   5.075269e+00   5.803005e+00   2.554847e+00   0.000000e+00
  5.220000e+01   5.545360e+00   5.360427e+00   2.630975e+00   0.000000e+00
  5.240000e+01   6.033504e+00   4.949751e+00   2.710899e+00   0.000000e+00
  5.260000e+01   6.536694e+00   4.570976e+00   2.794496e+00   0.000000e+00
  5.280000e+01   7.051826e+00   4.224103e+00   2.881638e+00   0.000000e+00
  5.405000e+01   1.089824e+01   2.778910e+00   3.437069e+00   0.000000e+00
  5.430000e+01   1.088003e+01   2.868413e+00   3.404696e+00   0.000000e+00
  5.555000e+01   6.894461e+00   5.419383e+00   2.527775e+00   0.000000e+00
  5.575000e+01   6.364349e+00   5.977717e+00   2.389482e+00   0.000000e+00
  5.595000e+01   5.848694e+00   6.577479e+00   2.255357e+00   0.000000e+00
  5.615000e+01   5.350675e+00   7.218670e+00   2.125607e+00   0.000000e+00
  5.635000e+01   4.873363e+00   7.901290e+00   2.000433e+00   0.000000e+00
  5.655000e+01   4.419701e+00   8.625338e+00   1.880028e+00   0.000000e+00
  5.780000e+01   2.447164e+00   1.408926e+01   1.142784e+00   0.000000e+00
  5.805000e+01   2.412286e+00   1.431364e+01   1.035420e+00   0.000000e+00
  5.930000e+01   3.964087e+00   1.063014e+01   6.925081e-01   0.000000e+00
  5.950000e+01   4.339424e+00   1.011511e+01   6.410490e-01   0.000000e+00
  5.970000e+01   4.737048e+00   9.620584e+00   5.964544e-01   0.000000e+00
  5.990000e+01   5.154506e+00   9.146560e+00   5.587930e-01   0.000000e+00
  6.010000e+01   5.589225e+00   8.693040e+00   5.281230e-01   0.000000e+00
  6.030000e+01   6.038524e+00   8.260024e+00   5.044917e-01   0.000000e+00
  6.155000e+01   9.481035e+00   6.018223e+00   3.788731e-01   0.000000e+00
  6.180000e+01   9.671467e+00   6.051580e+00   3.417227e-01   0.000000e+00
  6.305000e+01   7.780879e+00   8.688620e+00   9.785976e-02   0.000000e+00
  6.325000e+01   7.519320e+00   9.194978e+00   6.270276e-02   0.000000e+00
  6.345000e+01   7.249909e+00   9.724627e+00   3.530206e-02   0.000000e+00
  6.365000e+01   6.974307e+00   1.027757e+01   1.569989e-02   0.000000e+00
  6.385000e+01   6.694214e+00   1.085380e+01   3.926483e-03   0.000000e+00
  6.405000e+01   6.411356e+00   1.145332e+01  -2.903593e-09   0.000000e+00
  6.530000e+01   5.004748e+00   1.572804e+01  -2.921488e-09   0.000000e+00
  6.580000e+01   4.647215e+00   1.769267e+01  -2.928647e-09   0.000000e+00
